"name","logo","homepage_url","crunchbase"
"Beijing Primitive Technology Co., Ltd","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/beijing-primitive-technology-co.,-ltd.svg","https://primihub.com/",""
"Ewha Institute for Biomedical Law & Ethics","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/ewha-institute-for-biomedical-law-&-ethics.svg","https://my.ewha.ac.kr/","https://www.crunchbase.com/organization/ewha-womans-university"
"Transport for NSW","","https://transport.nsw.gov.au/",""
